q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32,q33,q34,q35,q36,q37,q38,q39,q40,q41
46479733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asks how to download the game.
46479591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urges the game to release soon.
46479589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praises the game's performance and ease of use; recommended it to friends.
46479546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requests a farming/casual mode with cooking from harvested food and Overcooked-like co-op challenge stages.
46479201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loves the art style and adventure vibe (reminds them of It Takes Two and micro-world themes); eager to play soon.
46478975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Loves the art style; hopes for more stylish, unique clothing."
46478230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Likes the game and asks when it will release.
46478160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Likes the art; hopes outfits are pretty and not too expensive.
46477725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asks whether the game supports online co-op.
46477600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Likes the building mode and cute art style; looking forward to it.
46477065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loves the cute art and is excited for a sim/management experience; worries their phone might not handle performance/optimization.
46476622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Worried about heavy user acquisition at launch and rapid post-launch decline; hopes for sustained support.
46476139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very excited; loves the cute art; wishes for public beta soon.
46476138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wishes the game to be very popular at launch.
46476104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asks when the public beta will start.
46475982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asks when the game will go live.
46475329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Played Heart Town and is very excited; asks when this will launch.
46474932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asks when the game will launch; thinks it looks fun.
46473865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,Fears the game will rely on heavy monetization; complains that many games feel unplayable without spending.,,,,,,,,,,,
46472402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asks when the game will launch.
46471934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asks when the game will launch.
46471718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requests a clean UI without excessive red-dot notifications and fragmented micro-activities; wants centralized rewards and fewer daily chore-like clicks.
46471122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Is excited and finds the art soothing; hopes for good optimization and a quick test.
46470528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loves the healing art style; compares the vibe to certain cartoons/MVs.
46470341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Suggests design choices: avoid numerous complex orders, keep daily tasks simple, allow pet raising, add interactive furniture, and make basic vehicles obtainable without paying."
46470066,,,,,,,,,,,,,,,"Tiny-world home building and customization using everyday objects; exploration and collection of unique resources (e.g., sunlight, flower fragrance) to craft items; warm social interactions with many NPCs.",True,2.0,Described as relaxing and pressure-free; each resource-gathering trip feels like a gentle adventure.,1.0,"Collecting special resources like sunlight/flower fragrance enables crafting various items, making gathering feel rewarding and varied.",,,,,,,,,,,,,,,,,,,,,
46469872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wants a combat mode with co-op monster fighting and rewards like outfits.
46469031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Finds the setting/art like a fairy-tale; suggests future IP collaborations (e.g., Miyazaki, Disney, Pixar); hopes for high freedom; worries about phone performance."
46468884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asks when the game will launch and whether the wait will be long.
46468225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skeptical about the PV; suspects CG masquerading as gameplay and lack of real in-engine footage.
46468068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very excited; loves the art; requests a beta slot.
46467547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loves the art; requests comfortable camera/rotation for players prone to 3D motion sickness; expects classic sim-management gameplay and emphasizes smooth controls.
46467450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praises unique building style and 3D character models; eager for test access and launch.
46467140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hopes for camera controls suitable for players who get 3D motion sickness.
46466496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thinks this looks better than Heart Town in action and graphics; hopes for cloud play.
46466246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asks if multiplayer allows interacting with partners.
46466003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asks if the game can launch this year.
46465968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urges for a public beta soon.
46465940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wants this game to surpass Heart Town.
46465629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hopes the game avoids gacha or roulette-based acquisition systems, saying those reduce motivation."
46465522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loves the art style; asks when it will launch.
46465346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asks when it will be released to market.
46465259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thinks the PV looks good but worries about mobile optimization.
46464966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Has pre-registered; asks how long until launch.
46464871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Praises the puppet-themed minigame: fun, novel design, and clear/beautiful visuals."
46464409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finds the art cute and believes gameplay looks rich; waiting for public beta.
46464344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asks how long after reservation they can play.
46463464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hopes for more areas worth exploring.
46463284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Says the art style is promising and worth anticipating.
46463136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asks why they still can't play after making a reservation.
46459599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Complains they reserved a day ago but still cannot play, calling it scammy."
46463012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asks whether the game supports online co-op.
46462800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saw a gameplay video and thinks it looks fun; asks when it will be available.
