app_id,app_title,review_id,review_publish_time,review_score,review_author_user_id,review_author_user_name,device,review_played_spent,up_rating_aspects,down_rating_aspects,review_content_raw_text,comments,review_up_votes,review_down_votes
209601,长安幻想,44537218,1743688712,5,23562097,音羽,小米15,900.0,"['gameplay', 'operation', 'visual_music']",[],只能说，这游戏很多地方都很恶心人，号与号之间运气差距是巨大的，有的号做啥都很欧，打次装备就能实现转盘自由，有的号每次转盘都得氪好几个648，还有打竞技，挖宝，副本等等，欧的号真的很欧，黑的号想砸手机的心都有。另外想玩的舒服三卡足够，零氪也可以玩，这游戏收益虽然一再被削，但还是量大管饱的。最主要的是，一定要有人一起玩，一个人很难玩下去，有固定队一起配合久了是能打大氪的。附灵真的是救了这游戏，能看出来策划是努力在改变的，不管是好是坏，但真的少做点背刺玩家的事吧，这小破游经不起折腾了。,,,
209601,长安幻想,44536451,1743685196,5,439928192,风花雪月,,57120.0,[],[],物理打本速度一般最好加到一千一左右，不然进野队上三有些难顶，速度够自己守三刀或者唐门，会好过的多，要不然可老麻烦了,,,
209601,长安幻想,44532959,1743667711,5,5301878,Dust,,129960.0,[],[],风系风伯被动加十的速度加上敏捷追风，哪怕是五智风伯都有千速，除非三刀点，唐门不良司打风伯不太行，而且对面的物理不可能没人管，不说封管不管物理，三刀肯定是冲对面物理去的,,,
209601,长安幻想,44525303,1743610615,5,23265809,家有胖喵,iPhone 12,,[],[],兜兜转转，其实还是很不错的,,,
209601,长安幻想,44522083,1743589936,5,384969687,霖,Vivo IQOO Neo10,,"['gameplay', 'operation', 'visual_music']",[],个人觉得还是可以的，扣个三卡，基本上体验感也没那么差，咱也不能跟氪金大佬比，乘风区感觉还是不错的,,,
209601,长安幻想,44517437,1743548523,5,541655140,乙：竹叶青茶,Honor X40,,"['gameplay', 'operation', 'visual_music']",[],"🎆美感：
很好

🔍背景考据：
不错

💰肝氪度：
一天一小时",,,
209601,长安幻想,44517423,1743548058,3,518971395,平旦ss,HONOR PTP-AN70,159480.0,"['operation', 'visual_music']",['gameplay'],"体验，的确值得体验。
舒适度上，能横屏能竖屏，能摸鱼能认真。
画面上，还算精美，看着舒服不花哨。
可玩性上，说实话老一套，并没有实质创新，战略性得不到体现。如果五星是满分，这是唯一的扣分点。",,,
209601,长安幻想,44512891,1743504949,5,31179862,陛下的小鱼干,华为SEA-AL00,,"['gameplay', 'operation']",['visual_music'],"好玩，挺良心的，再多给点福利就好了
",,,
209601,长安幻想,44490308,1743314542,5,324617878,-,一加手机PHP110,,['visual_music'],[],游戏角色很吸引人，设计的非常棒，就是有点太肝了,,,
209601,长安幻想,44484940,1743261807,4,519796744,神明也曾温柔,Vivo V2314A,,[],[],"乘风服跟别的服务器有什么区别嘛，哪位大佬可以详细的说说
",,,
209601,长安幻想,44475749,1743213162,1,390180282,cyc,Huawei Mate 60 Pro,,[],[],为什么突然89的号进不去了,,,
209601,长安幻想,44471174,1743169100,5,7601511,o_O,Redmi K70 Ultra,,[],[],我几乎玩过手机上所有回合制手游。我敢说长安幻想就是最好的一个。没有之一，给我最爱的回合制5星奉上！,,2.0,
