question_code,question_content,synthesis_answer
q1,"Does the game contain any sensitive content (Sexual Content/Nudity, Violence/Gore, Drugs/Alcohol/Tobacco, Religious/Political)? (If not mentioned, answer “N/A”)","{None: 720, True: 9}"
q2,"List the sensitive content mentioned, if any.","• Female outfits widely criticized as overly revealing; some expect censorship at release. [46947048, 46925596, 46934639, 46836976]
• Request for an option to toggle revealing outfits. [46859104]
• Breast jiggle and very short skirts, ""skirts exposing buttocks"" reported. [46934639]
• Others say most female outfits are normal, though some feel overtly pandering. [46851689]
• Desire for more male fanservice; male characters are few and plain. [46851689]
• Early scenes include sexualized art like boob windows and high skin exposure. [46836976]
• Age rating questioned; some think content is more suitable for 18+. [46859104]
• Presence of homo content in gallery bothers some players. [42514957]
• Forced female protagonist prompts concern about yuri or boyfriend romance. [46828587]
• Narrative features deities, creation myths, and divine swords. [46834055]"
q3,Summarize the core combat mechanics (or “N/A” if not mentioned).,"- Turn-based, GBF-like combat; largely number checks with minimal strategy. [46828590, 46819524, 46958102, 46823148]
- Auto-battle unlocks early; exploration and fights can be fully automated. [46928089, 46834055, 46834000]
- Skill axis lets you script actions; but setup UI lacks descriptions. [46832432, 46843571]
- Auto AI wastes heals/buffs on turn one; poor timing logic. [46834000, 46837066, 46841939]
- Skill axis settings often reset or disappear; some skills can’t be added. [46958908, 46925128]
- Requests for separate ultimate toggle; teammates overstack ultimates. [46956348, 46828590]
- Ultimate chains exist but effects are unexplained. [46928089, 46834000]
- Buff/status terminology unclear; many icons without in-battle explanations. [46903937, 46832432, 46828079]
- Long skill cooldowns (7–8 turns); healing caps too low for AoE. [46846433, 46834000, 46928089]
- Elemental mono-teams rewarded; four attributes with synergy/affinity. [46928089, 46860366, 46832540]
- Party uses 4 active plus 2 reserves; pets and weapons add skills/stats. [46928089, 46832540, 46834055]
- Ten-slot weapon grid drives stats; slot rules and effects are confusing. [46832540, 46928613, 46841939]
- Boss HP is huge; battles often take several minutes or longer. [46834000, 46863198, 46841939, 46955938]
- No battle speedup or sweeps; only skip current turn. [46934951, 46834733, 46860752]
- Tower/climb auto-battles are slow; ~4 minutes per floor. [46863198, 46832432]
- Auto sometimes defaults to normal attacks in co-op. [46843571, 46841939]
- Frequent combat bugs: freezes, black screens, post-battle softlocks. [46834000, 46860752, 46903937]
- Controls hinder combat flow: fixed central joystick in vertical orientation. [46934951, 46842449]
- Balance concerns: fire outdamages earth; SR–SSR damage gap is huge. [46947048, 46825708]
- Suspected damage caps; multi-hit skills likely superior. [46832540]
- Enemies feel basic; boss attacks lack telegraph and damage feedback. [46903937]
- Co-op rewards hinge on contribution/MVP; non-drops feel punishing. [46860366, 46841939]"
q4,Rate combat satisfaction: -2 (very negative) to 2 (very positive) or “N/A”,"{'overall_score': -0.6428571428571429, 'detailed_scoring': {None: 659, -1.0: 45, 1.0: 12, -2.0: 7, 0.0: 5, 2.0: 1}}"
q5,Reason for previous question’s rating,"• Many find battles too slow; no speed-up or skip hurts satisfaction. [46934951, 46834733, 46860752, 46849692, 46821284]
• Long, grindy fights; high boss HP makes runs minutes long. [46955938, 46834000, 46863198, 46947048]
• No sweep; repeating material runs feels tedious and time-wasting. [46834000, 46832432, 46834733, 46860752, 46841939]
• Turn-based combat polarizes; some enjoy it, many dislike it. [46828079, 46889659, 46807914, 46700684, 46823148]
• Auto-battle AI often misuses skills; heals and buffs blown early. [46837066, 46841939, 46840461]
• Skill axis customization praised but buggy, resets, lacks descriptions. [46832432, 46925128, 46958908, 46843571, 46934951]
• Request separate ultimate toggle; teammates clump ultimates awkwardly. [46956348, 46828590]
• Combat bugs: freezes, black screens, stuck after fights degrade enjoyment. [46834000, 46860752, 46843571, 46842305]
• Effects mixed: flashy ult animations and big numbers vs. cheap-looking attacks. [46955237, 46928089, 46958102, 46819377, 46819129]
• Status and buff explanations unclear; mechanics hard to understand mid-battle. [46903937, 46832432, 46841939, 46828079]
• Auto unlocks early; idle-friendly combat appeals to some players. [46928089, 46834055]
• Healing caps and long cooldowns hurt survivability in harder fights. [46834000, 46863198]
• Some find combat shallow, “numbers collide” with limited strategy. [46958102, 46878755, 46823494, 46825773]
• Chain/ultimate link effects poorly explained, weak feedback. [46832540, 46834000]"
q6,"List the strategic/tactical features mentioned, if any.","• Turn-based combat with customizable skill order and auto execution. [46958908, 46832432, 43763811]
• Skill order editor lacks in-place descriptions; requires leaving to read skills. [46834000, 46841939, 46843571]
• Skill cooldowns are long (often 7–8 turns); plan buff windows. [46846433, 46832540]
• Skill order now displays cooldown values in the list. [46834000]
• Copy/paste skill orders between teams; mismatched slots disrupt sequences. [46834000]
• Monster/pet skills integrate into the skill order system. [46958908]
• Auto-battle AI prioritizes heals early; needs smarter logic. [46834000, 46841939]
• Request: toggle to control Ougi release independently. [46956348]
• Ougi chains and fusion attacks trigger when allies act together. [46834000, 46834492]
• Elemental system: same-element teams gain bonuses. [46928089, 46860366]
• Non-advantage hits suffer -50% damage; train four element teams. [46877074, 46875475]
• Team composition uses 4 frontline + 2 reserves. [46928089]
• Weapon grid with multiple slots; passives buff matching-element allies teamwide. [46832540, 46822805]
• Duplicate weapons needed for limit breaks; some upgrades have success chance. [46846433, 46832540]
• Same-name weapon passives likely don’t stack. [46832540]
• Summon/pet slots (4–5); attribute-matched passives and limit breaks. [46928089, 46832540]
• Damage cap exists; multi-hit characters gain advantage. [46832540]
• Yellow gauge under HP suggests a break/control mechanic. [46832540]
• Skip current turn exists; no full battle skip or sweep. [46828079, 46832432]
• Co-op raids with MVP, contribution, and host reward tiers. [46860366]
• Raid rooms capped at six players; limited daily host attempts. [46877074]
• Attribute-specific towers provide idle resource income. [46832540, 46834492]
• Main character has multiple jobs; job affects main weapon types. [46817957]
• Characters have skill trees; shards grant permanent attribute bonuses. [46819470, 46819346]
• One-click team setup by power or attribute; recommended builder available. [46928089, 46841939]
• Status effects like Frozen stack; effect descriptions lack clarity. [46834000]
• Shields use fixed values; some heals are percent with caps. [46834000]
• Boss HP is very high; long fights reward planned rotations. [46834000, 46841939]
• Auto-battle settings granularity supports varied conditions. [43670677]
• Buff stacking enables massive single-skill bursts; time rotations accordingly. [46846433]
• Healers are scarce with long CDs; sustaining requires shields and planning. [46863198, 46834000]"
q7,Rate strategic/tactical depth: -2 to 2 or “N/A”,"{'overall_score': 0.0, 'detailed_scoring': {None: 683, 1.0: 20, -1.0: 18, 0.0: 5, -2.0: 2, 2.0: 1}}"
q8,Reason for previous question’s rating,"- Strategic agency is low; battles often feel number-driven and automated. [46928089, 46819524, 46878755]
- Mono-element damage reduction (−50%) forces building four single-attribute teams. [46877074, 46875475]
- Single-element team-building perceived as straightforward, limiting tactical complexity. [46872868, 46828639]
- Skill axis enables custom turn orders, offering potential tactical control. [46832432, 43670677, 43763811]
- Auto AI undermines strategy; healers often waste skills on turn one. [46834000, 46841939]
- Skill-axis tools are buggy; skills disappear or paste scrambles orders. [46958908, 46834000]
- Auto-setup lacks skill descriptions; players must exit to check effects. [46841939, 46843571]
- Mechanic explanations are unclear, hindering planning (buffs, debuffs, chain ougi). [46828079, 46834000, 46832540]
- Co-op synergies exist (ougi chains, same-element buffs) but guidance is minimal. [46860366, 46834000]
- Players request ultimate toggles to coordinate ougi chains. [46956348]
- Build depth via GBF-like weapon grids, summons, and attribute synergies. [46832540, 46860366, 42512938]
- Systems lean pure-stat, funneling to best-in-slot metas. [46854207, 46823964, 46834492]
- Healing balance limits strategies; long cooldowns and low ceilings. [46834000, 46863198]
- Damage caps push multi-hit meta over tactical choices. [46832540]
- Element balance concerns impact viable teams (fire/water outperform earth). [46947048]
- Newcomers overwhelmed by multi-system builds; clearer grid guidance needed. [46823306, 43761110]
- Some appreciate strategic flavor from class and team composition. [46828880, 46819283]
- Auto-centric design reduces incentive to explore builds and rotations. [46828079]
- Co-op emphasizes optimized builds; lacking summons severely handicaps performance. [46860366, 46875475]
- Burst combos exist, but rotations are long-CD buff cycles plus autos. [46846433]"
q9,Rate game progression: -2 to 2 or “N/A”,"{'overall_score': -1.0612244897959184, 'detailed_scoring': {None: 680, -1.0: 34, -2.0: 11, 1.0: 4}}"
q10,Reason for previous question’s rating,"• Progression revolves around repetitive dungeon farming; boredom sets in quickly. [46955237,46947048,46829245,46867994,46824335]
• No sweep/skip and no battle speed make daily grinding overly time-consuming. [46947048,46934951,46840461,46825580,46824638,46820171]
• Boss HP is high; single runs and tower floors take minutes. [46834000,46863198,46841939,46823876]
• Drop rates for weapons, monsters, and materials are frustratingly low. [43495890,46830120,46912176,46876326]
• Stamina/AP costs and limits restrict progress; recent increases intensify grind. [46876326,46875475,44917070,46841939]
• 50% resistance forces training 4–6 elemental teams, inflating grind and cost. [46875475,46824629,46841939,46863198]
• Main character job breakthroughs aren’t shared; respec/refunds absent. [46934951,46817957,46834000,46821284]
• Bugs and locks block progression (quests/dungeons won’t open). [46937790,46904513,46862161,46842305]
• Auto-battle AI wastes skills; skill-order tools lack clarity. [46841939,46834000,46840461]
• Difficulty spikes later; progress demands heavy grind or payment. [46928089,43495890,46841939]
• Event windows are short; required rare items gate rewards. [46834000,46877074]
• Key upgrade materials (proofs, black hearts) drop too rarely. [46834000,46825957,46877074]
• Team-building depends on gacha; off-rate/dup needs hinder progression. [46934951,46842305,46896729,46875475]
• Guidance is weak; unlocks slow; systems confuse early progression. [46928089,46834000,46825708]
• Daily multiplayer reliance hurts progress when rooms are empty; no AI assist. [43495890,46860111,46821284]
• Quote: ""Feels like work."" [46947048]
• Early progression can be smooth with generous test rewards (≈200 pulls, free SSRs). [46819470,46819346,43670677]
• One-click team setup helps, but multi-layered upgrades deepen grind. [46928089]
• Content and hosting are time-gated (limited hosts per boss, day locks). [46824335,46877074]"
q11,Rate hero balance: -2 to 2 or “N/A”,"{'overall_score': -1.6, 'detailed_scoring': {None: 724, -2.0: 3, -1.0: 2}}"
q12,Reason for previous question’s rating,"• Elemental balance skewed by bugs; water crit/multi-hit broken, wind stronger due to fewer issues. [46898892]
• Perceived power creep: new characters much stronger than existing ones. ""crush old ones"". [46878782]
• Class imbalance noted; top-rarity healers are scarce and underpowered. [46863198]
• Rarity power gap excessive: SR vs SSR damage differs by multiples at equal level. [46825708]
• Specific unit overtuned: Earth ""noble"" has constant 500% defense. [43670677]
• Content demands separate elemental teams, amplifying balance frustrations and roster dependency. [46863198, 46825708]"
q13,Rate hero/team build diversity: -2 to 2 or “N/A”,"{'overall_score': -1.0, 'detailed_scoring': {None: 717, -1.0: 6, -2.0: 4, 1.0: 2}}"
q14,Reason for previous question’s rating,"- Meta is singular; other teams perform poorly, discouraging alternatives. [46895932]
- Attribute-lock forces mono-element teams; flexibility is low. [46825423, 46831894, 46860498]
- Gacha results dictate team compositions; player choice feels limited. [46886382, 46825423, 45444345]
- No random affixes; optimal setups dominate, reducing experimentation. [46854207]
- Per-element healer scarcity and weak healing restrict viable builds. [46863198]
- Team attribute requirements are high, limiting viable choices. [45444345]
- Players want mixed-attribute synergies to broaden team diversity. [46825708]
- Boss resistance to off-elements enforces specific team counters. [46877782]
- Required to build four mono-element teams, increasing grind. [46825423, 46860498]
- Simple approach: stack same-element characters, weapons, and pets. [46825423]
- Large SR-SSR power gap reduces mixed-rarity team options. [46825708]
- ""114 weapons, 514 builds"" used sarcastically about claimed variety. [44759581, 42518014]"
q15,Describe the secondary core loop (or “N/A”),"- Explore open 2.5D maps via auto-path; find chests, items, light puzzles, limited interactions. [46955237, 46928089]
- Gather overworld mining materials to upgrade weapons; no dedicated weapon-material dungeons. [46832540]
- Collect junk during exploration; alchemy converts to stamina, proofs, and class unlock components. [46834000, 46820456]
- Alchemy grind is heavy; key drop rates low; guidance for recipes and sources is poor. [46834000, 46823964]
- Fish daily with limited bait; unclear rewards; mainly monster materials or small gacha currency. [46895365, 46890101]
- Climb attribute towers for idle hourly income; functions as AFK progression. [46832540, 46832432]
- Run single-player XP and breakthrough trials; no sweep; repeated clears demanded. [46819346, 46832432]
- Players request trial sweep after multiple clears to reduce time sink. [46825160]
- Daily and weekly tasks reward currency; claiming and navigation feel inconvenient. [46819346, 43763811]
- Short-timed events; expected to supply high-tier upgrade materials like black steel. [46834000, 46890101]
- Guild battles recur as a social side activity beyond raids. [46848453]
- Configure skill order and CDs, then rely on auto-battle for farming. [46832432, 46834000]
- “刷子游戏，挂机模式.” [46817957]"
