question_code,question_content,synthesis_answer
q1,"Does the game contain any sensitive content (Sexual Content/Nudity, Violence/Gore, Drugs/Alcohol/Tobacco, Religious/Political)? (If not mentioned, answer “N/A”)",{None: 146}
q2,"List the sensitive content mentioned, if any.",• No reviews matched.
q3,Summarize the core combat mechanics (or “N/A” if not mentioned).,"- Auto chess core with 1v1 dueling twist; lineup building drives outcomes. [45588362, 44115210, 46859715]
- Strategic phases: choose archetype, manage economy midgame, adjust lineup late. [46850142]
- Attribute and archetype counters enable reactive counter-builds against opponents. [45588362, 46849196]
- Scouting opponents and switching builds for hard counters feels rewarding. [46849196]
- ""Region"" mechanic adds another strategic layer to battles. [45588362]
- Hero skills meaningfully impact combat decisions and synergies. [45588362]
- Simple vertical controls enable one-handed, quick sessions; easy for beginners. [45653850, 45588362, 45287050]
- Ladder play showcases visible skill growth through better strategy and countering. [46849196]
- Balance issues: several lineups feel overtuned; overall balance needs work. [46859715]
- RNG pain: hard to roll core archetypes/abilities; heavy refresh costs. [46850142, 46849196]
- Early health damage creates snowballing, weak comeback potential. [46849196]
- Drawing key abilities is satisfying and powerful. [46849196]
- Draft/selection mode is widely disliked and requested to change. [46041935, 45862186]
- New playstyles and archetypes keep combat variety fresh. [46849196, 46859715]
- Lacking visibility of secondary archetypes during hero pick hurts defensive planning. [45287050]
- Occasional input delay and lag degrade combat responsiveness. [46849196]
- Single-player turn structure; shorter, less time-consuming than classic auto chess. [45818499, 44246660]
- Each match plays differently; lineup strategy variety keeps matches fresh. [46859715, 45588362]"
q4,Rate combat satisfaction: -2 (very negative) to 2 (very positive) or “N/A”,"{'overall_score': 0.9130434782608695, 'detailed_scoring': {None: 123, 1.0: 10, 2.0: 9, -2.0: 3, -1.0: 1}}"
q5,Reason for previous question’s rating,"• Overall combat satisfaction is high; many describe it as addictive and engaging. [46859715, 44246694, 44193136, 44106486, 43701219, 43693081, 43685536]
• Strategic depth and counterplay deliver strong accomplishment when outsmarting opponents. [46849196, 45588362, 43521331]
• 1v1 auto-battler format feels simple yet deep, pleasing strategy fans. [44115210, 45588362]
• Fast-paced, vertical design suits short sessions, boosting enjoyment. [45653850, 44246694, 44106475, 45287050, 44246660, 45004937]
• Ranked ladder progression reinforces satisfaction with visible skill growth. [46849196]
• Balance concerns: certain compositions/heroes feel overpowered. [46859715, 44094737]
• RNG frustrations: low gold drop rates and missing core pieces hurt satisfaction. [44242260, 44094737, 46849196]
• Draft mode is widely disliked; players request changes. [46041935, 45862186]
• Technical issues like lag, heating, and settlement bugs disrupt enjoyment. [46849196]
• New content and builds keep combat fresh. [46849196]
• Onboarding and hero info clarity need improvement for better early combat choices. [45287050, 43685536]
• Visual fidelity could improve to enhance battle feel. [45818499]"
q6,"List the strategic/tactical features mentioned, if any.","- Auto battler core with strategic hero lineup building and synergies. [46859715, 45588362, 45238964]
- Tight faction/attribute counter system enabling build matchups. [45588362, 44105888, 46849196]
- Opening archetype selection shapes strategy from the first round. [46850142]
- Mid-game economy management impacts power curve. [46850142]
- Late-game lineup adjustments and pivoting are crucial. [46850142, 46849196]
- Scouting opponents and counterpicking their builds. [46849196]
- Predicting counter relationships for timely reversals. [46849196]
- Ranked ladder emphasizes strategic play and improvement. [46849196]
- Frequent new modes and archetypes expand strategic space. [46849196]
- Drawing special abilities adds spikes of power and variety. [46849196]
- Build-defining archetype cores; success depends on drawing desired core. [46850142, 46849196]
- 1v1 dueling combined with autobattler progression. [45588362, 44115210]
- Region mechanic adds another strategic dimension. [45588362, 43606624]
- Rune system augments build customization. [43606624]
- Opening region selection influences early decisions. [43606624]
- Two legendary options per archetype diversify endgame builds. [43606624]
- Character talent trees enable long-term build choices. [43606624]
- Rich card pool enables high-combinability lineups. [44105888]
- Understanding hero skills is key to tactical mastery. [44116340, 44115210]
- ""Every match feels like chess."" [46849196]"
q7,Rate strategic/tactical depth: -2 to 2 or “N/A”,"{'overall_score': 1.8, 'detailed_scoring': {None: 136, 2.0: 8, 1.0: 2}}"
q8,Reason for previous question’s rating,"• Strong strategic depth from lineup synergies and attribute counters. [46859715, 45588362, 45238964, 44105888]
• Matches feel fresh; diverse builds and counters create varied strategic experiences. [46859715, 45588362, 44105888]
• Multi-phase decision-making: opening archetype, midgame economy, late-game lineup adjustments. [46850142]
• Scouting opponents and flexibly switching archetypes to counter is central. [46849196]
• ""Each game feels like chess."" Highlights strategic forethought and adaptation. [46849196]
• High skill ceiling but accessible entry; strategy depth grows with rank and learning. [46849196, 45588362, 46850142, 44115210]
• Additional systems like regions, runes, talents add layers of tactical choices. [45588362, 43606624]
• 1v1 auto-chess hybrid praised for meaningful duels and buildcraft. [45588362, 44115210]
• Balance concerns: certain lineups or heroes feel overtuned, reducing strategic diversity. [46859715, 45238964]
• RNG on drawing core abilities can derail plans and comebacks. [46850142, 46849196]
• New archetypes expand strategies, yet players still seek broader variety. [46849196, 46859715, 44116340, 43606624]
• Fast pace yet remains brainy; suits short sessions without losing depth. [44106475, 45588362]
• Need to understand heroes and skills deeply to excel. [44116340]"
q9,Rate game progression: -2 to 2 or “N/A”,"{'overall_score': 0.0, 'detailed_scoring': {None: 144, 1.0: 1, -1.0: 1}}"
q10,Reason for previous question’s rating,"- Early progression is accessible; clear onboarding and fast early resource gains. [45588362]
- The 1v1 growth/progression system meshes well with autobattler combat. [45588362]
- Long-term progression/content depth feels limited; ""loses freshness after 1–2 weeks"". [43685530]
- Players ask for more content to sustain progression over time. [43685530]"
