question_code,question_content,synthesis_answer
q1,"Does the game contain any sensitive content (Sexual Content/Nudity, Violence/Gore, Drugs/Alcohol/Tobacco, Religious/Political)? (If not mentioned, answer “N/A”)","{None: 1542, True: 287}"
q2,"List the sensitive content mentioned, if any.","- International/TW versions praised for explicit, highly sexualized art and skins. [37930045, 37066891, 37223898, 37964511]
- CN version heavily censored: added clothing, black cloth, and saint light. [40097370, 37987711, 38032029, 38387404]
- Censorship changes include reduced breasts and removed beast ears/tails. [38499711, 38434292, 38059487, 38470410]
- Players request anti-censorship toggle/patch; say it’s effectively blocked. [38033903, 38094021, 44493910, 38369819]
- Complaint: CN version has too much clothing; prefer international art. [44223654, 44204883, 38203488]
- Age rating debate: should be 16+ or 18+, not 12+. [44446413, 46296551, 46070461, 44190041]
- Some say a “12+” title feels like an eroge. [44615179]
- Sexualized interactions: butt close-ups, jiggle physics, Live2D animations. [46035749, 37652166, 38106438]
- Suggestive minigames and bathing scenes (clicking sensitive areas, shared baths). [37670418, 37634440]
- Ads/promos imply adult content; CN release contradicts with heavy coverage. [44251408, 37991993, 37900353]
- Many still describe the art as very lewd despite censorship. [38156135, 39574832, 44447616, 40177610]
- Others dislike exaggerated breasts; “breast dizziness,” poor aesthetics. [38052393, 38487491, 38070997]
- Community sexual talk off-putting; vulgar breast discussions reported. [38032408]
- Political/cultural concerns: Japanese voiceover criticized amid nationalism. [38032137]
- Political/cultural concerns: “East Xi” resembles China; outfits seen inappropriate. [38034418]
- Many recommend uncensored international/TW servers over CN version. [38203488, 44223654, 38033214, 37943655]"
q3,Summarize the core combat mechanics (or “N/A” if not mentioned).,"- Turn-based, six-unit auto-battle with chibi models; minimal player control. [45055425, 37066891, 38032451]
- Most encounters can be skipped after early chapters; elites/bosses often cannot. [38299847, 38033276, 38033675]
- Skip and high-speed features unlock late or behind paywalls (10x via pass). [38033276, 38051073, 38092964]
- Battles feel slow without speed boosts; unskippable animations frustrate pacing. [42998424, 43002299, 38049138]
- Combat outcomes rely on total power; little strategy or interaction. [38105462, 37066891, 45055425]
- Team synergies are shallow; stack newest UR/SSR to win. [43702728, 43670292]
- Front and back rows feel meaningless due to prevalent AoE damage. [39727404]
- Higher power reportedly acts first; turn order favors whales. [38039568, 43679058]
- Rarity scaling is steep; UR/SSR vastly outperform SR/R. [37636135, 43702728, 38034077]
- Skins and furniture add combat stats, affecting balance. [37636135, 36760711, 38033276]
- Ultimates auto-cast; manual weapon skills matter little. [37636135, 37149466]
- Frequent, flashy ultimate animations; skipping often locked by level. [38033013, 38372557]
- Ultimate animations inconsistent; some SR have them, some SSR do not. [37223898]
- Early game is easy; difficulty spikes later, increasing grind and gating. [38101198, 45055425, 43679058]
- Daily combat modes feel repetitive; mostly auto and skip. [44302835, 38046815, 37888274]"
q4,Rate combat satisfaction: -2 (very negative) to 2 (very positive) or “N/A”,"{'overall_score': -0.9114583333333334, 'detailed_scoring': {None: 1637, -1.0: 89, -2.0: 63, 1.0: 28, 0.0: 6, 2.0: 6}}"
q5,Reason for previous question’s rating,"• Combat is largely automatic with minimal strategy; satisfaction low for ""pure number stacking"". [45055425, 38105462, 38299847, 38109155]
• Many describe battles as boring/grindy, lacking engaging mechanics. [44302835, 43743077, 38170141, 38041586]
• Chibi big-head models and stiff animations reduce immersion. [44302835, 42019948, 38041344, 38035907]
• Skill/ultimate animations frequently unskippable early; progress-gated or paywalled speed-ups. [42853546, 37696323, 38054691, 38033276]
• Excessive battle animations and light pollution strain eyes. [42231127, 38372557, 38232953]
• Boss/elite stages often cannot be skipped; routine fights repetitive. [38299847, 38046815, 38084238]
• Tutorial forces long, unskippable battles, hurting first impressions. [38118329, 38147766, 38039718, 42853546]
• Combat outcome heavily determined by rarity and power; UR stats overpower skills. [43670292, 43702728, 38104006]
• PvP feels pay-to-win; low spenders struggle to compete. [38107566, 42019948, 38170141]
• Some appreciate auto/skip for a hands-off sub game. [38032111, 38061013, 38046471]
• A minority praise ultimate animations and effects. [43140527, 38035509, 37845954]
• 3x speed still feels slow; battles take minutes. [38058964, 38147766]
• Pure number-based design; whoever has higher power moves first. [38039568, 40165523]
• Overall, combat satisfaction trends negative despite attractive art. [38070722, 38047113, 44302835]"
q6,"List the strategic/tactical features mentioned, if any.","- Turn-based, automated combat with minimal manual control; ultimates auto-cast. [37066891, 38034686]
- Boss battles cannot be skipped; some modes force manual starts. [38299847, 41179586]
- After a loss, Abyss skipping disabled until daily reset. [41999997]
- Many daily fights require repeated manual starting; no batch start. [41179586]
- Formation uses six units; training targets positions, not individual characters. [42998424, 37950513]
- Resources on positions inherit when swapping characters; zero-cost lineup changes. [37985338, 38052341, 37447733]
- Star levels are per-character; skills gated by stars and don’t inherit. [42998424, 38178986]
- Some skills are probabilistic at low stars, guaranteed at higher stars. [38034686]
- Exclusive weapons, four-slot relics, and pets add layered build choices. [42998424, 37950513]
- Rarity dictates strength; UR/SSR dominate, SR/R often useless. [44189159, 38052738, 37636135]
- Newer characters power-creep older ones; stack latest units to win. [43702728]
- Limited synergy; common plan is tank front, DPS back, stack power. [43702728, 38105462]
- AoE damage makes front/back line positioning largely irrelevant. [39727404]
- Enemy stats are hidden; dodge RNG can swing outcomes. [38341011, 38109155]
- Collection boosts stats: codex, bonds, skins, furniture, affection. [38178986, 38077339, 38076928, 38042188]
- Skins grant attributes (e.g., character +10%, global +1%), stackable. [37636135, 36760711]
- Codex increases team attributes even for off-field characters. [38077339]
- Early viable build example: burn team for smooth story pushing. [38045675]
- Exit mid-battle doesn’t consume stamina/attempts. [38210219]
- PVP-heavy design: local one-team and cross-server three-team modes. [37950513]
- Cross-server guild territory control; strong guilds monopolize points. [44426438, 37950513, 38165312]
- Daily “Faith Liberation”: 12 flawless wins vs player copies; newest region manual. [37950513]
- Cross-server guild brawls group three guilds; limited daily attempts. [37950513]
- Cross-server PVP tournament; weekdays single-team, weekends three-team with betting. [37950513]
- Cross-server 400-floor tower; AI auto inefficient; time-ranked. [37950513]
- High-difficulty co-op dungeon; hard without teammates. [37950513]
- Two towers: one sweepable post-clear; one manual, failed skip consumes attempts. [37950513]
- Three-star stage conditions include HP thresholds; can hard-gate progress. [37861904, 37597993]"
q7,Rate strategic/tactical depth: -2 to 2 or “N/A”,"{'overall_score': -0.8727272727272727, 'detailed_scoring': {None: 1774, -2.0: 23, -1.0: 16, 1.0: 12, 0.0: 3, 2.0: 1}}"
q8,Reason for previous question’s rating,"- Predominant view: combat is a stat-check; minimal strategy. [41094065, 38299847, 38051280, 38067906, 38105462, 37584263, 37066891]
- Auto-battle dominates; many stages can be skipped; little to no manual control. [37066891, 38034686, 38299847, 38052341]
- Formation and positioning matter little; front/backline often meaningless. [39727404, 38299847]
- Team synergies are shallow; few viable characters; combos rarely matter. [43702728, 38069621]
- Rarity dictates strength; SR/R considered unusable; stack SSR/UR to win. [37636135, 37303028, 44189159, 42998424]
- Initiative based on power; higher battle rating strikes first, limiting tactics. [38039568]
- Opaque and RNG mechanics undermine planning; unseen enemy stats and random dodges. [38341011, 38109155, 38034686]
- PVP and cross-server events reward power/whales; strategy feels irrelevant. [44426438, 38165312, 46122541, 38210219]
- Some praise limited build/element depth; e.g., early fire-team synergies. [38045675, 37597993]
- A minority report some tactical engagement beyond pure stats. [38603164, 46174367, 38035106]"
q9,Rate game progression: -2 to 2 or “N/A”,"{'overall_score': -1.292763157894737, 'detailed_scoring': {None: 1525, -1.0: 173, -2.0: 117, 1.0: 12, 0.0: 1, 2.0: 1}}"
q10,Reason for previous question’s rating,"• Heavy level-gating; story, features, and pools unlock late. ""Level-gated progression everywhere."" [46131531, 46232807, 44397723, 45055425, 42667799]

• Leveling slows sharply after 50; one level can take 2–5 days. [46232807, 46074010, 46122541, 46010091]

• Early progression feels smooth; mid‑late game becomes grindy and stalled. [46122541, 45923659, 39748638, 45979381]

• Stamina scarcity limits progression; routine content exhausts energy quickly. [42231127, 38140617, 38101198, 38088014]

• Resource income is low; gold and materials bottleneck upgrades. [44114032, 38116892, 38202759, 38051192]

• Progress tied to many systems: stars, weapons, gear, artifacts, pets, furniture. [46122541, 43743077, 38178986, 42998424]

• Position-based leveling allows swapping characters without regrinding levels. [37985338, 37636409, 45055425]

• Star/duplicate requirements are steep; maxing a character needs ~10–12 copies. [43743077, 38141097, 38148509]

• Skill reliability and power often locked behind star upgrades. [38034686, 38178986]

• UR dependency: SSR/SR become unviable, blocking story progression. [44114032, 43743077, 38180114, 45001950]

• Frequent difficulty spikes; enemies outheal/outdamage similar combat power. [38194993, 38167849, 43998216]

• Artifact/proxy systems are extreme grinds; shard drops are tiny. [37950513, 38093244, 38128250]

• QoL features (skip/speed/settings/chat) locked behind chapters or pay. [37583135, 38054691, 38105754, 38051192]

• Rewards and “self-selected 10-pull” are gated far into campaign. [45952181, 38239173, 38127669, 38090652]

• Cross‑server events hinder newer players’ progression and rewards. [46122541, 42082077]

• PvP dominates growth tasks; casuals struggle to progress mission requirements. [37598878, 38210219, 38148509]

• Fast power creep; new units arrive 1–2 weeks, invalidating progress. [46232807, 42991193]

• Casual, no‑PVP play can feel lighter, but progression remains slow. [46232807, 46338776]"
