app_id,app_title,review_id,review_publish_time,review_score,review_author_user_id,review_author_user_name,device,review_played_spent,up_rating_aspects,down_rating_aspects,review_content_raw_text,comments,review_up_votes,review_down_votes
629215,英勇之地,45183843,2025-06-06 00:18:36,1,420559404,另一个伊甸,华为 nova 6 5G,,['visual_music'],"['gameplay', 'operation']",什么时候修复什么时候改，一早上起来游戏登不上去，搞了一个小时，删了下，下了删，加载本地资源加载3分钟加载不进去，我一小时时间让你这样浪费，凭什么别人能登陆我登陆不了，客服反馈要反馈到猴年马月，还玩个蛋,2.0,2.0,
629215,英勇之地,45183823,2025-06-06 00:15:43,1,481592221,nxjxkx,一加 Ace 2 pro,149580.0,[],"['gameplay', 'operation', 'visual_music']",什么破游戏，大早上更新完进不去了,3.0,1.0,
629215,英勇之地,45183808,2025-06-06 00:13:30,1,542516616,宝贝,小米Mi 10S,,[],"['gameplay', 'operation', 'visual_music']",真够垃圾，一天进不去？圈完前就要跑路？游戏都不知道修复下，就会出充值活动,1.0,,
629215,英勇之地,45183807,2025-06-06 00:13:17,1,720636863,*nkmn,小米24117RK2CC,,[],"['gameplay', 'operation', 'visual_music']",游戏客服效率奇慢无比，只能消息沟通回复一句需要一天半的时间，运行bug多，会突然卡屏，明明网络和手机都是好的，运维的太垃圾，活动界面都不舍得放在主界面，只发个公告，懒死你们得了，一个活动的贴图都不做，真的烂透了,1.0,1.0,
629215,英勇之地,45183786,2025-06-06 00:09:33,1,690377480,User690377480,Redmi K60,,[],[],一到周末卡得狗一样，游戏都进不去,1.0,1.0,
629215,英勇之地,45172628,2025-06-04 22:07:00,2,528173007,诶嘿,Vivo V2156A,182220.0,[],"['gameplay', 'operation', 'visual_music']","几小时了？还进不去？😡😡😡
------------------
我网络是没问题的
人一多就开始卡，低画质低帧率，开游戏魔盒和性能模式，延迟还能干到常驻500毫秒
我这手机玩原都没问题，玩这个发热严重
还有角色位置问题，开启装备技能能发现圈在角色前面，而停止移动之后角色会漂移到圈中间
我的意思是显示的角色位置和实际位置有偏移
金币根本不够用
升华一个武器，加成归零要重新炼，废了，练一次要八千，这套装备直接残了
成体系成套的装备也太少了，没得选啊
不充钱就路边一条，我现在9万血了，还是刚见面就蒸发了，我不知道他怎么爆发的这么多伤害
只能当单机游戏玩玩，去PVP纯属找虐
我在7服，没什么活人
🙌🏻合作体验：
差
🔗网络优化：
赶紧优化
⚖️平衡性：
无平衡
🎮可玩性：
没内容",2.0,2.0,
629215,英勇之地,45183750,2025-06-06 00:01:54,1,720215173,落雨天寂寞,华为 荣耀畅玩20 5G,,[],[],游戏炸了？不让进了？？？,3.0,,
629215,英勇之地,45183707,2025-06-05 23:52:52,1,504198094,拾壹,小米24129RT7CC,,[],"['visual_music', 'gameplay', 'operation']",666，游戏内更新，taptap里面也更新 ，修复更是点烂了，游戏就是进不去，版本就是差一代，这样做游戏，早晚黄，什么玩意。,1.0,6.0,
629215,英勇之地,45183624,2025-06-05 23:35:46,1,604585799,海边,Android 设备,,['gameplay'],"['operation', 'visual_music']",服务器那么卡，都两三天了还不修复，进都进不去，怎么玩,1.0,,
629215,英勇之地,45183588,2025-06-05 23:28:16,1,564294790,n&uh,Vivo IQOO Z9 Turbo+,116640.0,[],"['gameplay', 'operation', 'visual_music']",不就是没充钱吗？游戏都不让进了，服务器也没有。进都不让进了，那些氪了几万的都能进，零氪的就是进不去。这不明显的圈钱吗？,3.0,5.0,
