question_code,question_content,synthesis_answer
q1,"Does the game contain any sensitive content (Sexual Content/Nudity, Violence/Gore, Drugs/Alcohol/Tobacco, Religious/Political)? (If not mentioned, answer “N/A”)","{None: 1625, True: 3}"
q2,"List the sensitive content mentioned, if any.","• Excess of childlike-looking female characters causes discomfort and unease. [39719728]  
• Perceived trend toward more revealing female art; sexualization concerns — ""women wear less and less."" [39674101]  
• Presence of blood in the story, but gore impact felt weak. [26832835]"
q3,Summarize the core combat mechanics (or “N/A” if not mentioned).,"- Turn-based grid tactics with speed bar; acting order fixed; players can’t choose sequence. [39669068, 39732296, 39656444]
- No counterattacks, backstabs, height or class counters; combat feels stat checks. [39655675, 39687593]
- Small maps, short movement; units clog paths; positioning feels cramped. [39666720, 39673930, 39669068]
- Skills feel homogeneous; classes mostly differ by range and damage type. [39717334, 39669068, 39665817]
- Limited team synergy; characters often fight independently with minimal combos. [39732859, 39667078, 39666495]
- Bosses are spongy; fights frequently last 10–13 minutes. [39716894, 39690127]
- Hidden objectives (turn limits, HP>50%) frustrate and discourage auto. [39679695, 39665732, 39731067]
- Auto exists mainly for farming; “auto AI is dumb.” [39656686, 39672703]
- Auto/委托 pauses on split‑screen; background farming inconvenient. [39665977, 39729517]
- Only 2x speed; players request 3x–4x, especially enemy turns. [26880466, 39679695, 39667078]
- No undo; frequent misclicks; unclear targeting and attack ranges. [39660056, 39657282, 26845328]
- Some enjoy thinking and tactics; others find it number-heavy and dull. [39676115, 39680248, 39669068]
- Speed system unpopular; limited adjustment options with bad trade‑offs. [39669068, 39660056, 39656720]
- Environmental mechanics often hinder players; enemy behavior rules unclear. [39717334, 39655675]
- Role notes: healers useful but slow; tank lacks taunt; certain DPS excel. [39731067, 39655675, 39729477]
- Energy economy matters; some kits enable early extra actions. [39729477, 39731067]
- Weekly equalized‑level mode undermines progression satisfaction. [39666689]
- Boss mechanics interest some; telegraphs and readability need work. [39679702, 39729477]
- Long multi‑wave stages and forced manual controls cause fatigue. [39679695, 39656686]
- AI target priority and skill usage often illogical; publish logic. [39655675, 39656686]"
q4,Rate combat satisfaction: -2 (very negative) to 2 (very positive) or “N/A”,"{'overall_score': -0.4844290657439446, 'detailed_scoring': {None: 1339, -1.0: 131, 1.0: 63, 0.0: 47, -2.0: 42, 2.0: 6}}"
q5,Reason for previous question’s rating,"- Combat reception is mixed: some enjoy strategy, many feel bored or tedious. [39807474,39665628,39663175,39655719,39658024,39804550]
- Pace feels slow; requests for faster speeds like 3x/4x. ""2x speed isn't enough."" [39679695,26880466,39667078,39657254]
- Auto battle AI is poor; frequent misplays force manual control. [39720251,39655608,39705368,39679260]
- Hidden objectives require repetitive manual replays, hurting satisfaction. [39679695,39705368,39666689,39664928,39668486]
- Controls are fiddly; misclicks between Attack/Standby and targeting issues. [39739839,39687275,39666183]
- Attack ranges and action order are unclear; players want customizable turn order. [39727099,39668435,39732296]
- Early difficulty spikes and long boss fights cause frustration. [39716894,39668486,39664427,39662722]
- Strategy depth criticized as number-focused; lacks flanking, counters, terrain. [39666685,39680248,39669068,39717334,39687593]
- Some find battles engaging once learned; war-chess fans satisfied. [39807474,39669734,39676115,39661285]
- Chibi battle animations feel crude; many want skippable ult animations. [39666272,39659046,26874981,26829153,39660056]
- Lack of sweep/skip and replay-watching increases time fatigue. [39680248,39727721,39656441,26888059,39665977]
- Map design criticized: narrow lanes, small grids, short movement. [39717334,39673930,39669068]
- Role balance concerns: weak healing/defense; similar skills across classes. [39837747,39690127,39739839]
- Boss mechanics interest some, but runs are long and punishing. [39729477,39731067,39716894]
- Tutorials insufficient; new players struggle to learn combat. [39655732,39662088,39660412]"
q6,"List the strategic/tactical features mentioned, if any.","- Turn order driven by speed; players can't freely choose activation sequence. [39661519, 39656444, 39669068, 39666720]
- Lacks counterattacks, flanking, height, and class advantage systems. [39655675, 39687593]
- Movement ranges are short; units clump, limiting positional tactics. [39669068, 39666720, 39680248]
- Terrain effects and danger tiles are hard to see. [39679702, 39664871, 39666193]
- Map gimmicks mostly hinder players; few harm enemies. [39717334]
- Enemy targeting logic unclear; shield units cannot taunt. [39655675]
- Bosses use delayed large-area attacks and hazard tiles. [39727721, 39679702, 39664871]
- Multi-wave encounters prolong battles; clear wave indicators are lacking. [26880466, 28754036]
- Hidden objectives impose strict constraints (turn limits, HP≥50%, specific kills). [39679695, 39664212, 39731067, 39663250]
- Auto-battle AI is poor; wastes skills and fails hidden goals. [39707884, 39664871, 39665292]
- Only 2x speed in combat; players want 3–4x, especially enemy turns. [39679695, 26880466]
- Undo requires consumables; not always available. [39683512, 39664871]
- Some stages force class restrictions or mandatory story units. [28754036, 39666720]
- Speed system hard to manipulate; limited tools to adjust initiative. [39669068, 39729477]
- High-speed enemies can act twice, hurting HP-threshold objectives. [39664928]
- Weekly “Winter Valley” equalizes levels; each unit usable once per run. [39732644, 39669068, 39729477]
- Challenge mode applies debuffs across consecutive battles. [39729477]
- Commission/auto replays recorded clears with boosted stats. [39732677, 39707884, 39655767]
- Six-unit teams; many players clear with three high-level units. [40328409]
- Class roles exist, but intra-class differentiation feels limited. [39760902, 39732644]
- Sniper aim stance consumes a turn; enemies can reposition away. [26830195]
- Light melee can jump obstacles; terrain interaction is otherwise minimal. [26883034]
- Reposition skills exist; Rabbit Shawm can swap allies/enemies. [39729477]
- “Rabbit Shawm excels at boss fights.” [39825268]
- Gold Cup provides easy burst AoE but is fragile. [39729477, 39731067]
- T-Shaped Painting summons durable pets; low burst, can block allies. [39731067, 39681459, 39665224]
- Melee damage counts once on large bosses, reducing output. [39733227]
- First-chapter boss hazard cracks are visually unclear. [39679702, 39664871]
- Events include high evasion enemies causing self-damage interactions. [39701518]
- Protect-NPC objectives end late under auto; AI wastes turns waiting. [28754036]
- Manual targeting requires moving before attacking; misclicks can trigger standby. [39658600, 39658524, 39729517]
- Buff and status indicators during combat are unclear. [39727721, 39680219]"
q7,Rate strategic/tactical depth: -2 to 2 or “N/A”,"{'overall_score': -0.45161290322580644, 'detailed_scoring': {None: 1535, -1.0: 47, 1.0: 21, 0.0: 17, -2.0: 8}}"
q8,Reason for previous question’s rating,"- Many say tactical depth is weak; gameplay feels number-driven. [39680248, 39666689, 39687593, 39669068, 39690127, 40248901, 39722624, 39659468]
- Lacks genre staples: no counterattacks, flanking, height, or class counters. [39655675, 39687593, 26843108]
- Terrain impact is minimal; mechanics often disadvantage only players. [39680248, 39717334, 39690127]
- Role synergies feel limited; characters often “fight individually.” [39666689, 39698853, 39760902, 39679702, 39732859]
- Skills feel repetitive; classes lack distinctive mechanics. [39717334, 39665817, 39760902]
- Speed/turn-order system hinders planning; players can’t control action order. [39669068, 39729477, 39666720, 39661519]
- Short movement and unit blocking reduce positional tactics. [39669068, 39666720]
- Hidden objectives constrain strategy; often frustrating and manual-only. [39666689, 39679695, 39663250, 39665043, 39662088, 39665292, 39731067]
- Auto-battle AI is poor; undermines planning and increases tedium. [26880466, 39678646, 39669238, 39656686, 39707884, 39665043]
- Combat pacing is slow; limited 2x speed and long enemy turns. [39679695, 26880466]
- Poor information clarity (ranges, tiles, buffs) impedes decisions. [39658600, 39729517, 39679702, 39664871, 39680219]
- Some enjoy thoughtful play; find acceptable or strong strategy. [40328409, 39807474, 39735026, 39733227, 39664212, 39676115]
- Certain boss fights praised for requiring planning. [28726311, 39680219, 39729477]
- Equalized weekly mode feels restrictive and frustrating. [39729477, 39669068, 39666689]
- Compared to peers, tactical design seen as inferior. [39687593, 39655675, 39665817, 40248901]"
q9,Rate game progression: -2 to 2 or “N/A”,"{'overall_score': -1.0746268656716418, 'detailed_scoring': {None: 1427, -1.0: 158, -2.0: 33, 1.0: 8, 0.0: 2}}"
q10,Reason for previous question’s rating,"• Early progression blocks at level 15/30; breakthroughs demand multiple material types. [39885891, 39795198]  
• Material drops are low or random; breakthroughs require many runs. [39668892, 26865371]  
• Stamina is scarce and costly; progression feels heavily gated. [39662533, 39669238]  
• Early onboarding suffers from stamina shortages; players want more sources. [39669781, 39666428]  
• No true sweep; “委托” remains time-consuming and pauses in background. [28799856, 28744068]  
• Auto-battle AI is inefficient, prolonging farming and bonus attempts. [39780193, 39665948]  
• Progression systems feel overcomplicated: levels, breakthroughs, skills, passives, weapons. [39732974, 39680248]  
• Weapon system’s random substats widely criticized; many want removal/rework. [39729517, 39690126]  
• Materials are fragmented; many currencies/items to juggle for growth. [39727721, 39722097]  
• Difficulty spikes outpace growth; recommended levels feel unrealistic without grind. [39662088, 28733034]  
• Some required resource stages unlock later than needed, blocking progress. [39721498]  
• Hidden conditions enforce specific roles; unraised units stall progression. [39795198, 39687432]  
• Lack of respec/refund punishes misinvestment; players request reset features. [39704546, 39700955]  
• Dupe/constellation impacts power; “complete” often needs three duplicates. [39660533]  
• A few praise flexible paths: grind or level to brute-force clears. [40328409]  
• Affection affects normal attacks; affection gains feel too slow. [39814193]  
• “委托” multi-reward helps some farming; perceived as pseudo-sweep. [39668755, 39666935]  
• Event stamina costs deepen bottlenecks during progression. [39712713, 39684096]"
