q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32,q33,q34,q35,q36,q37,q38,q39,q40,q41
46452869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nostalgic for Harvest Moon (GBA girl version); hopes the new game recaptures that original charm.
46452638,,,,,,,,,,,,,,,Visiting other players' planets (multiplayer social exploration).,,,,,,,,,,,,,,,,,,,,,,,,,,Requests increasing the number of slots to visit others' planets; says four is not enough.
46447374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accuses the game of copying existing titles' art and gameplay; says it lacks original features.
46451848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PV looks less impressive than earlier titles; feels more mediocre.
46451820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Art looks average; waiting to see the gameplay.
46451600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wants a high-quality mobile/PC farming/building game; believes miHoYo can fill the market gap.
46450651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46450447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thinks the art style is inferior to Heart Town.
46450426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46450205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Trusts miHoYo's optimization; hopes for an office-worker-friendly, not overly complex, Stardew-like experience."
46450182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sarcastically claims miHoYo lacks creativity and copies; calls out double standards.
46449727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accuses the game of copying Animal Crossing.
46449507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very excited; says few farming/casual games meet the bar; hopes to play soon.
46449425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Survey UX issue: TapTap ID required at the end causes lost progress; suggests putting ID first or making it easier to fetch.
46449005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,Cautious because non-buyout social games usually require more spending; observing first.,,,,,,,,,,,
46448743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expects it won't be very fun based on past miHoYo output; compares unfavorably to Tencent's new game PV.
46448562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Likes the art; trusts story/worldbuilding; hopes gameplay will be engaging.
46442742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calls out aggressive accusations; says borrowing is common and critics seem overly eager.
46448051,,,,,,,,,,,,,,,Online co-op and deep decorating/building loop; wants an easy copy/duplicate tool for decorations.,,,,,,,,,,,,,,,,,,,,,,,,,,Requests co-op and one-click copy in decoration mode.
46447779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argues gameplay similarities don't equal plagiarism; says no clear proof of direct copying.
46447626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asks whether there will be a Genshin Impact collaboration outfit.
46447428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46447316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46447184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46447064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,Prefers buyout and no 'three-piece' gacha; art/name similarities to AC/Stardew make the monetization model a concern.,,,,,,,,,,,Wants no miHoYo 'three-piece' monetization; questions naming similarity to Stardew Valley.
46446841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,Will drop rating if the 'three-piece' monetization appears.,,,,,,,,,,,
46446411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46446350,,,,,,,,,,,,,,,Home furnishing and decoration loop with precise placement tools (similar to Genshin's housing).,,,,,,,,,,,,,,,,,,,,,,,,,,Requests easier furniture alignment/placement tools.
46446253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wants more detailed character models; finds the style cute.
46446227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Notes the 8+ age rating; worries the player base may skew very young.
46446189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Says the name looks like Stardew Valley and video like Animal Crossing; complains about fan zeal.
46446155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,Speculates 'three-piece' gacha mapped to furniture/outfits with buffs; fears heavy monetization embedded in cozy loop.,,,,,,,,,,,
46446055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46445963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46445892,True,Political: warns that DIY/UGC could be used for political messaging like the Animal Crossing ban in China; urges safeguards.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advises implementing moderation to avoid repeat of Animal Crossing's domestic ban due to political UGC.
46445507,,,,,,,,,,,,,,,Social/co-op play with others.,,,,,,,,,,,,,,,,,,,,,,,,,,Likes social farming but worries about toxic fans ruining the social experience.
46445448,,,,,,,,,,,,,,,Cozy life sim with potential romance (desired); cast appears mostly furry.,,,,,,,,,,,,,,,,,,,,,,,,,,Hopes for surprises; won't play if it's too similar to Heart Town; disappointed there aren't human handsome/beauty options.
46445430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46445396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46445089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46445050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wants launch ASAP; really likes the shown art and gameplay concept.
46444900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46444758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Says art/style mimics Animal Crossing and the name mimics Stardew Valley; calls it deliberate 'edge' riding.
