q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32,q33,q34,q35,q36,q37,q38,q39,q40,q41
44327915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,Return-themed server seen as another monetization attempt; no recharge rebate for returning players.,,,,,,,,,,,Complaint about 'Qianji' limited server and lack of recharge rebate for returning users.
46411680,,,Turn-based with an action bar/turn order system plus programmable auto (automation codes) and speed tuning driving tactics.,1.0,Praises the unique action bar + auto-code + speed system.,"Speed tuning, action bar manipulation, cleanse/anti-push mechanics, multiple counter-picks to Fire, varied meta lineups.",2.0,Highlights distinctive turn-order/speed tactics and multiple viable counters.,1.0,Difficulty and grind lowered; more activities and welfare improve playability.,1.0,Fire dominance being addressed; several factions/teams are playable now.,1.0,"Lists multiple viable lineups (Double Pull Fire, Yuan, Hua Tuo Poison, etc.).","Side systems like Hot Spring, Fishing/Collections, Merchant shop, Auction House, sign-ins, and light life activities.",False,0.0,Several side systems exist but are straightforward fillers.,1.0,Improved welfare and new systems contribute resources and ease PvE.,2.0,Many new modes/systems added within four months.,,,,,1.0,States zero-spend can play; micro-spend has good value.,1.0,"Whales have spend outlets via skins/phantom valley, but F2P is still viable.",1.0,Notes welfare and event rewards increased significantly.,True,Direct sequel to Three Kingdoms Fantasy Continent (Sango Fantasy) with shared universe and themed servers.,1.0,Sequel status and comparable special server model to the first game.,,,,,Mentions 'Qianji' limited server with higher welfare and early access to new content.
46477943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asks why models changed from 2D in tests to 3D at launch.
46462818,,,,,,,,,-1.0,Early game okay but becomes very hard without spending later.,,,,,,,,,,,,,,,,,-1.0,Non-paying users struggle to compete with heavy spenders.,-2.0,States you cannot beat big spenders; late-game pressure is heavy.,,,,,,,,,,,
46443127,,,,,,,,,,,,,,,,,,,,,-1.0,Player asking when the next update is coming.,,,,,,,,,,,,,,,,,,,
45033197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,Spent a lot yet not enjoying; poor spend satisfaction.,,,,,,,,,,,
45002415,,,,1.0,Notes improved state and good strategy feel.,Strategy-focused gameplay and lineup planning.,1.0,,,,,,,,,,,,,,1.0,Perceives the game is improving.,,,,,,,,,,,,,,,,,,,
46395064,,,,1.0,Finds it fun and better than 1 with strategy.,Strategic lineup play.,1.0,,,,,,-1.0,Complains current hero roster is too small; wants more heroes.,,,,,,,-1.0,Requests faster hero releases.,,,,,,,,,,,True,Compared favorably against Three Kingdoms Fantasy Continent 1.,,,,,,,
46392408,,,Turn-based with a focus on combat fun and tactical decision-making.,1.0,Acknowledges the intent to build combat fun/strategy.,Tactical stage-solving and lineup experimentation.,1.0,,-1.0,Slow growth pace makes it boring after the first week.,,,,,,,,,,,-1.0,Few activities and limited gameplay variety.,,,,,,,,,-2.0,States welfare is poor and resource trickle is slow.,,,,,,,,,
46374394,,,Highlights a unique battle mechanism distinct from peers.,1.0,Calls out uniqueness positively.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
