question_code,question_content,synthesis_answer
q1,"Does the game contain any sensitive content (Sexual Content/Nudity, Violence/Gore, Drugs/Alcohol/Tobacco, Religious/Political)? (If not mentioned, answer “N/A”)","{None: 2366, True: 159}"
q2,"List the sensitive content mentioned, if any.","- Story heavily features BL; Cao Cao × Yuan Shao CP repeatedly cited. [45224412, 45071055, 44970107, 44970181, 44965046]
- Many call it otome/BL-focused; male cast criticized as feminized. [45040402, 44967861, 45046494, 44962693, 44170793]
- Sexualization: exaggerated breasts and overt fanservice for female characters. [45402566, 44995110, 44989624, 43960224, 43770394]
- Splash art shows busty women, but main story lacks women. [45639844]
- Fanservice inconsistency: women over-clothed; men frequently bare chests. [44986246, 44962558, 44334076]
- Hot springs removed; worries about NTR and romance discomfort. [45340882, 44918754, 45010037]
- Requests for shirtless male skins and more male fanservice. [44978010]
- Adult-content references noted (eroge jokes, “H” memes). [44878050, 43828793]
- Male voice acting described as overly effeminate. [44996674, 44971613]
- BL themes seen as disrespecting historical Three Kingdoms figures. [44958326, 44969230]
- Female players: not true otome; overwhelmingly male–male CP. [44989624, 44986246]
- Plot shows abuse: blind woman insulted, elderly bullied, refugees suffering. [45639844]
- Mentions of massacre and a woman abused to death. [45127200]
- Scene of students attacking a teacher criticized as inappropriate. [44961549]
- Early story features tavern drinking scenes. [44970310]
- Accusations of feminist agenda and ideological “bias/private motives.” [45229892, 44994330, 44971794, 44960994, 45752334]
- Concerns about creeping “political correctness.” [44334540]"
q3,Summarize the core combat mechanics (or “N/A” if not mentioned).,"- Core combat: 6v6 on 9-grid, shared energy; manual skill vs normal attack matters. [44969601, 44961133, 45071055]
- Action bar speed and push/pull bars heavily influence turn order and outcomes. [45009030, 45034141, 44668504]
- Programmable auto-battle rules exist; useful but limited targeting and intelligence. [44358334, 44975709, 44961878]
- Combat rewind/backtrack lets retry decisions, improving tolerance in tough fights. [45653611, 45035639, 45063325]
- Environmental interactions (firepots, screens, pigs, horses) add tactical effects and shortcuts. [45009030, 45071055, 43759823]
- Many stages force manual play, puzzles, or restrictions; automation often disabled. [45135144, 45010410, 45248185]
- Chapter finales frequently cannot auto or skip, slowing pacing. [44961964, 44973131, 44996910]
- Interrupt mechanics are mandatory in several PvE encounters. [45008393, 46278242]
- Burn vs poison timing: burn applies pre-turn, poison post-turn, impacting strength. [45256834, 45125599]
- Fire burn team dominates PvE and PvP; massive cross-power victories reported. [45240404, 45174733, 45098837]
- Cao Ren and Zhou Tai provide extreme mitigation, neutering direct damage builds. [45240404, 45125599]
- Backline-targeting threats make frontliners feel irrelevant; protection tools lacking. [45024942, 44967553, 44975611]
- PVP outcomes skew toward initial speed and push-bar openers. [44668504, 45034141]
- Real-time PVP is slow, hard to match, and widely disliked. [44990375, 45117688]
- Auto/skip PVP often reduces fights to battle power comparisons. [44970227, 44961101]
- Tower modes reward positioning and lineup tinkering; some find them satisfying. [45340882, 44993870, 44961133]
- Early dual-team requirements increase grind and frustrate players. [45071439, 45596937, 45254175]
- Energy economy encourages frequent normal attacks; many heroes have one active nuke. [45008393, 44968179]
- Skill texts are lengthy; learning all effects feels overwhelming. [45006131, 44967219]
- Auto AI can mis-target under special rules, failing star conditions. [45047857, 44961878]
- Cleansing and resist feel weak versus heavy debuffs; healing often countered. [45098837, 45125599]
- Later updates introduced counters to fire (cleanse, anti-pull, push immunity). [46411680]
- Post-update, poison (Hua Tuo), Wang Yi, and Pang Tong teams became viable. [46411680]
- Unique differentiator: action bar + scripting + speed adds strategic depth beyond raw stats. [46411680, 45009030]"
q4,Rate combat satisfaction: -2 (very negative) to 2 (very positive) or “N/A”,"{'overall_score': -0.7248908296943232, 'detailed_scoring': {None: 2296, -1.0: 103, -2.0: 63, 1.0: 47, 2.0: 8, 0.0: 8}}"
q5,Reason for previous question’s rating,"- Players praise innovative combat: action bar, energy management, speed control, and rewind depth. [46411680, 45653611, 45009030, 45034282]
- Many enjoy strategy-focused manual decision-making in challenging stages. [45151865, 46182391, 43759823, 46278242]
- Frequent complaints about forced manual stages; auto-battle AI feels dumb or cumbersome. [45010410, 45140922, 45248185, 44972532, 44973131]
- Auto-battle configuration is powerful but complex; targeting limitations frustrate players. [44358334, 44975709, 44961878, 45172117, 45069728]
- PVP satisfaction is low: whale matchmaking, slow real-time battles, limited control. [44990375, 44985187, 44961101, 44984870, 45392710]
- Fire burn teams dominate PVE/PVP, causing severe balance dissatisfaction. [45378257, 45507260, 45256834, 45174733, 45003018]
- Some note balance improvements; fire no longer singularly dominant. [45249294, 46411680, 45866343]
- PVE difficulty spikes and gimmicks (e.g., 100% resists) feel unfair. [45259115, 45255637, 45190851]
- Protecting backline feels ineffective; assassinations decide matches quickly. [45024942, 44967553]
- Combat pacing criticized as slow and repetitive; animations lack impact. [44968179, 45199510, 44959955, 44957628]
- Some find combat enjoyable and more interesting than the first game. [44977479, 45034282, 45653611, 44993870]
- Strategy often overshadowed by power gaps and stat checks. [45190851, 44969462, 44968179, 45014560]"
q6,"List the strategic/tactical features mentioned, if any.","- Action bar plus auto-logic and speed define core strategy. [46411680]
- Nine-grid positioning significantly impacts battles. [45340882]
- Shared energy (war intent) requires prioritizing skill usage. [45071439, 44961133]
- Manual control is often required for hard stages. [46182391, 44360343]
- Auto-battle scripting supports conditional skills and targets. [45056296, 44358334]
- Turn order planning and dynamic skill conditions matter. [44990378]
- Speed tuning, push/pull action bars decide battle tempo. [44668504, 44358334]
- Time rewind enables in-battle retries and experimentation. [45063325, 44965546]
- Environmental objects (screens, fire basins) trigger tactical effects. [45009030, 44961133]
- Gimmick stages like “hit pig to stun archer”. [43759823]
- Interrupt mechanics are critical in many encounters. [44964613, 45008393]
- Arena supports manual play; high ranks add ban-pick. [45166654]
- Some modes require two squads, forcing roster planning. [45167797, 45243971]
- Class switching via awakening enables role flexibility. [45063325, 44961878]
- Skill order, stationing, and speed tuning drive clears. [45031733, 45335892]
- Status timings differ: burn pre-turn; poison after action. [45167402, 45256834]
- Anti-fire tools include dispel, pull reduction, push immunity. [46411680]
- Backline sniping bypasses tanks, shaping protection tactics. [45024942, 44975611]
- Faction or role-restricted stages demand specialized lineups. [45167797, 45214733]
- Three rewinds increase tolerance for mistakes. [45063325]
- Auto-logic lacks granularity for buff target assignment. [44975709]
- Some stages enforce basics-only or achievement constraints. [44978562, 44360343]"
q7,Rate strategic/tactical depth: -2 to 2 or “N/A”,"{'overall_score': -0.009174311926605505, 'detailed_scoring': {None: 2307, 1.0: 91, -1.0: 73, -2.0: 23, 0.0: 18, 2.0: 13}}"
q8,Reason for previous question’s rating,"• “Action bar + auto code + speed = strategy.” [46411680]  
• Interactive battlefield elements (firepots, screens, horses) add situational tactics. [44961133, 43759823]  
• Tower stages praised for positioning and lineup puzzles. [45340882, 45036016]  
• Many PVE checks feel number-gated, undermining tactics. [45270483, 45130402]  
• Manual play often required; auto vs manual gap is large. [45266161, 45129968]  
• Auto-battle scripting is deep but imperfect for advanced goals. [44358334, 44975709]  
• Frequent constraints and hand-control interrupts make strategy feel cumbersome. [45152113, 44989275]  
• Build diversity debated: some enjoy creative combos, others see one-meta dominance. [44996307, 45167797]  
• PVP strategic depth is undercut by fire-burn meta dominance. [45174232, 45167402]  
• Speed tuning and skill order matter; thoughtful sequencing enables wins. [45031733, 45071439]  
• Some prefer relaxed auto-play; puzzle-like stages frustrate them. [45138000, 45167201]  
• Strategy demands multi-team investment; forced counters stall progress. [45243971, 45167797]  
• Tactical planning can let F2P occasionally beat stronger teams. [45045440, 44996307]  
• Turn-order inconsistencies and unclear rules hurt strategic clarity. [44360343, 45152113]  
• Frequent gear/skill reconfiguration for tasks reduces tactical enjoyment. [45259670, 45071439]"
q9,Rate game progression: -2 to 2 or “N/A”,"{'overall_score': -1.5476190476190477, 'detailed_scoring': {None: 2063, -2.0: 291, -1.0: 153, 1.0: 14, 2.0: 3, 0.0: 1}}"
q10,Reason for previous question’s rating,"• Early progression smooth; after 7–14 days, resource faucet dries up. [45268943, 45199902, 45184112]
• “After 14 days, ‘zero improvement’.” [45268943, 45252174]
• Resources are mostly one-time; daily loops yield negligible growth. [45268387, 45245727]
• Stamina gating is severe; buying stamina feels mandatory. [45203404, 44986125]
• Daily currency often can't fund a single 10-pull per week. [45244761, 45172880]
• Multi-team requirements arrive by day 7–10, overwhelming resources. [45071686, 45167797]
• Later, some modes require three teams, exacerbating grind. [45646883, 44978681]
• Gear progression via hammers is slow; set pieces rarely complete. [45103838, 45164375]
• Equipment reforging/stat washing is costly and frustrating. [45740980, 45123620]
• Awakening/profession branches need scarce dragon beads; monthly limits stall progress. [46278242, 45866343]
• Respec is limited; invested resources can't be reclaimed. [44970107, 44360343]
• Gacha progression demands many duplicates; 50-pull pity strains F2P. [45119113, 45221792]
• Limited-time banners and exclusive weapons gate power growth. [45223558, 44978681]
• PVE walls require specific units; immunities like 100% physical block progress. [45259115, 46051056]
• Box depth dictates rewards; failure reduces resources, forming a loop. [45400553, 45247676]
• Many rewards are ranking-gated, stalling casual progression. [44978681, 45177407]
• Post-launch updates reportedly increased welfare and lowered difficulty. [46411680, 45866343]
• Tower after floor 480 switched to single-team, easing progression. [46411680, 45866343]
• New systems (sigils, fishing) reduced PVE push difficulty. [46411680]
• Micro-spenders say progress still lags whales late-game. [46462818]
• Progress pace feels slow; daily play becomes 5–20 minutes. [45237279, 45184112]"
